APPLN_ID_SIPO,PubNum_google
CN200410051363.4,CN1114793C
CN200610066673.2,GB2300087B
CN98113699.0,US6471712B2
CN200710125408.1,US8421755B2
CN200510039266.8,CN2632108Y
CN200510022489.3,CN1682500A
CN200710112301.3,US20050124886A1
CN200410004916.0,JP3545666B
CN200510034435.9,JPH08317404A
CN200710122536.0,KR100584413B1
CN200610060271.1,US5325529A
CN200610035651.X,CN1756107A
CN200610127405.7,US20050141546A1
CN200510122638.3,CN1222775A
CN200610079252.3,CN1320344A
CN200610105075.1,CN200955953Y
CN200710145314.0,CN1802004A
CN200410053835.X,KR20040031345A
CN200310108497.0,US6058289
CN200710187234.1,CN100448225C
CN99116651.5,US4078724A
CN200410075547.4,CN1283825A
CN03153418.X,US4473251A
CN200610157769.X,CN101009627A
CN200410077452.6,JP3573137B2
CN200510113024.9,DE50202932D1
CN200410048240.5,US6886043B1
CN200510101998.5,BR0010799A
CN200410017752.5,US2696636A
CN03138559.1,CN1176567A
CN200410019902.6,JPS60243388A
CN200610062218.5,US20050185582A1
CN200710000392.1,CN1756200A
CN200710100711.6,JP2007068092
CN200610122868.4,DE19504278A1
CN200710124051.5,CN101031747A
CN200510091840.4,EP1182551B1
CN99112122.8,TW522453B
CN200410009373.1,CN1264222A
CN200510078425.5,US7061880B2
CN200710125406.2,US8390580B
CN200610062305.0,CN1512319A
CN200510100060.1,US5515044A
CN200710076509.4,CN100488192C
CN200680001587.1,SE466068
CN200710171751.X,CN101029420A
CN98111011.8,JPH05265011
CN200410103304.7,EP1280373B1
