Patent_ID,Patent_abstract,cleaned_and_stemmed_nouns_verbs_abstract
CN1859043A,"This invention provides a loading, testing and monitoring method for optical associated signals and its device, in which, the loading method includes: A1, distributing different time slots for loaded points, A2, each loaded point sends optical identification signals at the corresponding distribution time slot, the test method includes: B1, splitting the optical signals into two paths of signals, B2, converting a path of optical signals to corresponding electric signals, B3, separating the electric signals and picking up the identification signals from them.",invent provid load test monitor method associ signal devic load method includ a distribut time slot point point send identif signal correspond distribut time slot test method includ b split signal path signal b convert path signal correspond signal b separ signal pick identif signal
CN200510102791.X,"The present invention provides process of preparing magnetic microspherical alumina. The prepared magnetic Me2+-Fe2+-Fe3+-LDHs core precursor is dispersed directly into aluminum sol and formed through oil column forming process, and through further washing, drying and once roasting, the magnetic microspherical alumina is prepared. The present invention has simplified operation, saving in power and lowered cost. The magnetic Me2+-Fe2+-Fe3+-LDHs core precursor may be well dispersed in aluminum sol, and after post treatment, especially high temperature roasting, the obtained magnetic microspherical alumina has well continuous magnetic domain structure and high magnetic performance. The magnetic microspherical alumina may be used as magnetic catalyst or magnetic catalyst carrier.",invent provid process prepar me fe fe ldh core precursor is dispers aluminum sol form oil column form process wash dri roast alumina is prepar invent ha simplifi oper save power lower cost me fe fe ldh core precursor be dispers aluminum sol post treatment temperatur roast obtain alumina ha domain structur perform alumina be use catalyst catalyst carrier
CN1928031A,"The present invention is one kind of alcohol-hydrocarbon fuel with high octane number for vehicle. The alcohol-hydrocarbon fuel consists of light hydrocarbon 100 weight portions, anhydrous methanol or anhydrous ethanol 3-30 weight portions, propane 10-25 weight portions, toluene or xylene 5-25 weight portions, cosolvent 0-10 weight portions and cationic fluorocarbon surfactant 0.004-0.04 weight portion. The present invention is one kind of clean automobile fuel with high octane number 95-97, low cost, no corrosion high abrasion resistance and environment friendship. The alcohol-hydrocarbon fuel is suitable for use in LPG liquid jetting automobile with high compression ratio.",invent is kind alcohol hydrocarbon fuel octan number vehicl alcohol hydrocarbon fuel consist hydrocarbon weight portion methanol ethanol weight portion propan weight portion toluen portion cosolv weight portion fluorocarbon surfact weight portion invent is kind automobil fuel octan number cost corros abras resist environ friendship alcohol hydrocarbon fuel is use lpg liquid jet automobil compress ratio
CN201096758Y,"The utility model particularly relates to a liquid medium pre-processing device and the related using method, pertaining to the technical field of chromatographic analysis. Comprising a sampling pipeline, a chromatographic instrument connecting pipeline, a gas removing tube and a pipeline switching valve, the utility model discloses a liquid medium pre-processing device which is characterized in that the device comprises a standing separation tank; the upper end of the standing separation tank is connected with the sampling pipeline and the gas removing tube, while the lower end is connected with the chromatographic instrument through a pipeline. The liquid medium pre-processing device of the utility model can achieve the purposes of large flow, blocking prevention and basically bubble removing and can save investment.",util model relat medium pre process devic use method pertain field analysi compris pipelin instrument connect pipelin ga remov tube pipelin switch util model disclos medium pre process devic is character devic compris stand separ tank end stand separ tank is connect sampl pipelin ga remov tube end is connect instrument pipelin medium pre process devic util model achiev purpos flow block prevent remov save invest
JP2003117714A,"PROBLEM TO BE SOLVED: To provide a wire material peel chip cutting device and a wire material peeling device equipped with the wire material peel chip cutting device with high chip cutting ability and excellent workability, particularly suitable for two-stage peeling. SOLUTION: In the wire material peeling device for peeling a wire material W rewound from a material feeder, by a peeling die 13A and then winding the wire material W by a winding device, a cutting tool 24 with a cutting edge 24a facing a part near the peeling die 13A is mounted to a cutting tool holder 23 rotationally driven around an axis 6 of the wire material W, and a milling cutter 35 rotationally driven with a cutting edge 35a brought close to the wire material W is provided in the front side position of the cutting tool 24.",problem to be solv provid wire materi peel chip cut devic wire materi peel devic equip wire materi peel chip cut devic chip cut abil workabl stage peel solut wire materi peel devic peel wire materi w rewound materi feeder peel die a wind wire materi w wind devic cut tool cut edg face part peel die a is mount cut tool holder driven axi wire materi w mill cutter driven cut edg brought wire materi w is provid side posit cut tool
US6064692A,"Improved initialization techniques for initializing data transfer between a pair of transceivers in a multicarrier modulation transmission system are disclosed. The multicarrier modulation transmission system normally includes a central office and a remote unit, with the central office having at least one transceiver and the remote unit having a transceiver. For each pair of transceivers, the transceiver at either the central office or the remote unit controls the determining of bit allocations for both upstream and downstream data transmissions without assistance from the other transceiver of the pair. The initialization processing for the pair of transceivers is thus performed efficiently and with better centralized control.",improv initi techniqu initi data transfer pair transceiv modul transmiss system are disclos modul transmiss system includ offic unit offic have transceiv unit have transceiv pair transceiv transceiv offic unit control determin bit alloc data transmiss assist transceiv pair initi process pair transceiv is perform central control
CN1225751A,"The invention relates to a high frequency switch used for a mobile communication apparatus, such as, a portable telephone or the like, the object is to provide a dual band switch having a simple structure and capable of changing to an ON or an OFF state in two bands. In order to achieve the object, the dual band switch of the invention comprise a series circuit including a PIN diode (101) and a compensation circuit (102). The compensation circuit may be formed having at least two series resonance points and one parallel resonance point. The circuit arrangement allows the impedance of the compensation circuit, which is capacitive at low frequency close to a direct current, to become inductive after a first series resonance point, so that a parasitic capacitance of the diode may be canceled in a first band. The impedance of the compensation circuit may also become inductive after a parallel resonance point and the following series resonance point, so that a parasitic capacity of the PIN diode may be canceled in a second band.",invent relat frequenc switch use commun apparatu telephon object is provid band switch have structur chang on off state band order achiev object band switch invent compris seri circuit includ pin diod compens circuit compens circuit be form have seri reson point parallel reson point circuit arrang allow imped compens circuit is frequenc becom seri reson point capacit diod be cancel band imped compens circuit becom reson point seri reson point capac pin diod be cancel band
US4048203A,A new process for the purification of lutein-fatty acid esters from marigold flower petals or marigold petal oleoresins based on alkanol precipitation is disclosed. The purified colorant thus prepared is suitable for coloring foods in the yellow to red region.,process purif acid ester flower petal petal oleoresin base precipit is disclos color is color food yellow region
CN1146270C,"The present invention discloses a method for automatically obtaining IP addresses of devices. The method comprises a device dividing a hardware address field in a BOOTP request packet into a plurality of fields and respectively transmitting BOOTP requests, a router for forwarding the BOOTP requests and a BOOTP server. The field contents can be the information of slot numbers, port numbers, etc. of the device, each sub field can not be used as a unique mark of the device, and the sub fields can be combined so as to uniquely mark a device. With the method of the present invention, the device can automatically obtain the IP address via a BOOTP protocol and does not need unique hardware address information, and therefore, the configuration and the maintenance of the device become simple.",invent disclos method obtain ip address devic method compris devic divid hardwar field bootp request packet plural field transmit bootp request router forward bootp request bootp server field content be inform slot number port number etc devic field be use mark devic sub field be combin mark devic method invent devic obtain ip address bootp protocol doe need hardwar address inform configur mainten devic becom simpl
CN200610124276.6,"Disclosed is an abrasive tool made of epoxy resin-bonded compound abrasive material, which comprises epoxy resin, abrasive material and curing agent. The weight percentages are as follow: the epoxy resin is 15 to 78 percent, the abrasive material is 2 to 44 percent and the curing agent is 4 to 18 percent. Wherein, the abrasive material comprises one of diamond, silicon carbide or corundum or the combination of more than one material. The curing agent comprises one of 4.4`-methylenedianil, solid diaminodiphenyl methane or liquid modified diaminodiphenyl methane or the combination of more than one material. The component of the abrasive tool also comprises the other auxiliary material, which comprises one of alumina, barium chloride, sodium chloride, quartz sand, organobentonite, wetting agent, zirconium silicate, calcium carbonate, graphite powder, garnet, magnesium sulfate, phenolic resin, zinc stearate and magnesium stearate, or the combination of more than one material. The product can be made into any shape the same with the present product, which can be applied in various grinding and polishing equipment with wide application scope.",disclos is tool made resin bond compound materi compris resin materi cure agent weight percentag are epoxi resin is percent materi is percent cure agent is percent wherein materi compris diamond silicon carbid corundum combin materi cure agent compris methylenedianil diaminodiphenyl methan liquid modifi methan combin materi compon tool compris materi compris alumina barium chlorid sodium chlorid quartz sand wet zirconium silic calcium carbon powder garnet magnesium sulfat resin zinc stearat magnesium stearat combin materi product be made shape product be appli grind polish equip applic scope
CN2653025Y,"The utility model discloses a metal curtain wall, comprising a curtain wall plate with positioning hook type flanging arranged at two sides at least and step shaped flanging at one side at least. Especially, positioning hook type flanging can be arranged at three sides of the curtain wall, and step shaped flanging can be arranged at one side; or positioning hook type flanging is arranged at the two symmetrical sides of the curtain wall, and step shaped flanging is arranged at the other two symmetrical sides. Compared with the copper decoration plate, the metal curtain wall of the utility model can not only fully reflects the beauty and high class, but also has high intensity, shock resistance, wind alleviation and familiar anti-corrosion by fixation part fixed on the wall; the utility model can be replaced separately and conveniently, and has fastness and stability as the basic character, the utility model is rain water preventing as well.",util model disclos metal curtain wall compris curtain wall plate posit hook type flang arrang side step flang side posit hook type flang be arrang side curtain wall step shape flang be arrang side posit hook type flang is arrang side curtain wall step shape flang is arrang side compar copper decor plate metal curtain wall util model reflect beauti class ha intens shock resist wind allevi anti corros fixat part fix wall util model be replac ha fast stabil charact util model is water prevent
JPH07134624A,"PURPOSE:To provide a thyristor controller which has no malfunction nor breakage against the external noises and the lightning surge. CONSTITUTION:A thyristor controller is provided with a thyristor module 4 which contains the 3-terminal bidirectional thyristors 5 and 6 that control the energization of an AC power supply 1 to the load of a motor 3, etc., and a controller 14 consisting of a circuit 14 which eliminates the noises generated from the power supply 1 and a gate control circuit 15 which controls the gate of both thyristors 5 and 6. Then the module 4 is connected to the controller 14 via the lead wires 16-20, and a single pole of the power supply 1 is connected to the module 4 via the controller 14.",purpos provid thyristor control ha malfunct breakag nois lightn surg constitut a thyristor control is provid thyristor modul contain thyristor control energ ac power suppli load motor etc control consist circuit elimin nois gener power suppli gate control circuit control gate thyristor modul is connect control wire pole power suppli is connect modul control
US7359210B2,"A shock absorbing system may be mounted on a circuit board, such as a carrier card, to reinforce the circuit board and/or to absorb shock forces from a neighboring circuit board, such as a mezzanine card coupled to the carrier card. The shock absorbing system may include one or more support members extending across at least a portion of the carrier card. One or more rollers may be supported on the support member(s) in a manner that allows rotation to facilitate insertion and/or extraction of mezzanine cards from the carrier card. Of course, many alternatives, variations, and modifications are possible without departing from this embodiment.",shock absorb system be mount circuit board carrier card reinforc circuit board absorb shock forc neighbor circuit board mezzanin card coupl carrier card shock absorb system includ support member extend portion carrier card roller be support support member s manner allow rotat facilit insert extract mezzanin card carrier card cours altern variat modif are depart embodi
CN1315362C,"The present invention relates to carbon nanotube (CNT) / ceramic composite material with a microwave absorption function, which belongs to the field of functional composite material. The present invention is characterized in that the content of CNTs is 0.1 to 30 vol%; a ceramic system is one of SiO2, Si3N4, Al2O3 or ZrO2; the CNTs can be multi-wall carbon nanotubes or single-wall carbon nanotubes; the diameter of the CNTs is 20 to 40 nm, and the length-diameter ratio is at least 100/1; a surface active agent used in the process of preparation is one of C16 TMAB, PAA or C16 EO; a dispersion medium is one of chloroform, deionized water, acetone, absolute alcohol or absolute alcohol and water; composite powder is directly mixed or is prepared by a rapid sol-gel method; finally, a hot pressed sintering technique is used for preparing. The carbon nanotube (CNT) / ceramic composite material provided by the present invention has the characteristic of structural function integration. Taking CNT/SiO2 as an example, the strength and the toughness of 5 vol% of CNT/SiO2 material prepared by the rapid sol-gel method are the highest; compared with pure SiO2, the strength and the toughness are respectively increased by 140% and 53%, and the carbon nanotube (CNT) / ceramic composite material also has the characteristic of microwave absorption.",invent relat carbon cnt materi absorpt function belong field materi invent is character content cnt is vol system is sio sin alo zro cnt be wall carbon nanotub wall carbon diamet cnt is nm length diamet ratio is surfac agent use process prepar is c tmab paa c eo dispers medium is chloroform deioniz water aceton absolut alcohol absolut alcohol water powder is is prepar sol gel method sinter techniqu is use prepar carbon nanotub cnt materi provid invent ha characterist function integr take cnt sio exampl strength tough vol cnt sio materi prepar sol gel method are compar pure sio strength tough are increas carbon nanotub cnt materi ha characterist microwav absorpt
US6772376B1,"A method and system for reporting detected errors in a computer system. The computer system includes a processor, communication device, and subsystems. The communication device preferably includes a preprogrammed reporting address associated with a technical support center. When an error is detected within the system, an error specific message is generated. The communication device then sends the error message to the preprogrammed address. The technical support center, resident at the preprogrammed address receives the error message and is able to more effectively respond to the detected error message.",method system report error comput system comput system includ processor commun devic subsystem commun devic includ report address associ support center error is detect system error messag is gener commun devic send error messag address support center resid address receiv error messag is respond detect error messag
CN1556635A,"The invention provides a complementary code keying modification method in wireless communication, which belongs to wireless communication technology field. In the complementary code keying modification in the wireless communication, it uses the zero correlation window code group to generate a abstract code group; assumes the complementary code keying modification code in wireless communication is Ci, Ci= {c1', c2', ..., c8'}, i=1, ..., 256, it is carried on with non-periodic self-correlation calculation or convolution with the Ak in above mentioned abstract code, k belongs to 1...M, acquires the CiAk, the indicates the non-periodic self-correlation calculation or convolution; carries on matching filter to the received CiAk signal, acquires the CiAkAk = Ci, then carries on decoding to the Ci. The method in the invention combines zero correlation window code, flow code, and several modifications. It leads in orthogonal vector in the modification technology, thus solves the problem of multi-user interference. If it is applied in the wireless local area network, it can transmit data on the physical layer, upgrade the data transmitting rate of user and the quantity of the wireless local area network.",invent provid code key modif method wireless commun belong wireless commun technolog field code key modif wireless commun use zero correl window code group gener code group assum code key modif code commun is ci ci c c i is carri self correl calcul convolut ak mention code k belong m acquir ciak indic self correl calcul convolut carri match filter receiv ciak acquir ciakak ci carri decod ci method invent combin correl window code flow code modif lead vector modif technolog solv problem multi user interfer is appli area network transmit data layer upgrad data transmit rate user quantiti area network
JPH08214073A,"PURPOSE: To connect to a desired VPN called party without redialing by a VPN caller and without notifying a moving destination of an absent party. CONSTITUTION: Connection destination revision is controlled to connect a member's net service of a virtual private network(VPN) Î² with respect to a specific subscriber set connecting to a public communication network including subscriber exchanges 1, 2, 3 through a common line signal network 5. In this case, a VPN subscriber dependent schedule management table 11 is prepared in advance for a network service control station 6 and when an inquiry about the connection of a VPN subscriber receiving the member's net service is received, the schedule management table 11 is used to retrieve a subscriber ID (VPN or general subscriber ID) being a connection destination of the called VPN subscriber corresponding to a current point of time and the called VPN subscriber C2 is connected to the communication network by using the subscriber ID.",purpos connect desir vpn call parti redial vpn caller notifi move destin parti constitut connect destin revis is control connect member servic network vpn respect subscrib set connect commun network includ subscrib exchang line network case vpn subscrib schedul manag tabl is prepar advanc network servic control station inquiri connect vpn subscrib receiv member servic is receiv schedul manag tabl is use retriev subscrib id vpn subscrib id be connect destin call vpn subscrib correspond point time call vpn subscrib c is connect commun network use subscrib id
CN200510089895.1,"This invention discloses a parallel downloading method and a terminal, in which, said method is used in supporting systems downloading contents in blocks including: A, a terminal gets a description label corresponding to the downloaded content and gets to know the source information of multiple contents providing the following contents, B, the terminal divides the contents in blocks to form multiple content blocks, C, the terminal send requests to servers for downloading said blocks and downloads the contents, D, zz terminal gets the blocks to assemble them to a complete downloading content, which increases the downloading speed and the rodust.",invent disclos download method termin said method is use support system download content block includ a get descript label correspond download content get know sourc inform content provid content termin divid content block form content block c send request server download said block download content d zz get block assembl download content increas download speed rodust
SE0302685D0,"A data communication having at least one data flow is established over a wireless interface between a radio network and a user equipment node (UE). A medium access control (MAC) layer located in a radio network node receives data units from a higher radio link control (RLC) layer located in another radio network node. Some or all of a header of a RLC data units associated with the one data flow is analyzed at the MAC layer. Based on that analysis, the MAC layer determines a priority of the data unit relative to other data units associated with the one data flow. The MAC layer schedules transmission of higher priority data units associated with the one data flow before lower priority data units associated with the one data flow. The priority determination does not require extra priority flags or signaling.",data commun have data flow is establish interfac radio network equip node a medium access control mac layer locat radio network receiv data unit radio link control rlc layer locat radio network header rlc data unit associ data flow is analyz mac layer base analysi mac layer determin prioriti data unit rel data unit associ data flow mac layer schedul transmiss prioriti data unit associ data flow prioriti data unit associ data flow prioriti determin doe requir prioriti flag signal
CN2254399Y,"The utility model relates to a positioning device for a die slide carriage, which is used for forming plastics. The positioning device is provided with a positioning seat fixedly arranged on a movable die wall plate, and the center of the positioning seat is provided with a through hole. The upper part of the through hole is provided with a long slot and locked with a clamping seat having a spring and a long bar, and the long bar is supported by the spring to position in the long slot. In addition, a clamping rod is arranged on a slide carriage corresponding to the direction of the positioning device, and the clamping rod is formed with a straight clamping slot corresponding to the long slot. When the slide carriage moves outwards, the long bar and the clamping slot are matched for clamping in order to provide favorable positioning effect, and the positioning device can be arranged without the limitation of direction.",util model relat posit devic slide carriag is use form plastic posit devic is provid seat arrang die wall plate center posit seat is provid hole part hole is provid slot lock clamp seat have spring bar bar is support spring posit slot addit clamp rod is arrang slide carriag correspond direct posit devic clamp rod is form clamp slot correspond slot slide carriag move bar clamp slot are match clamp order provid posit effect posit devic be arrang limit direct
CN2088904U,"The utility model relates to the improvement of a gold mining cylindrical sieve. The central axis of each mesh of the utility model forms 30+-5 DEG radical included angle with the sieve cylinder; the arrangement of each row of meshes on the cylinder sieve plate forms 15 to 23 DEG included angle in vertical and radical direction with the previous row of meshes; the difference between the centre distance of each row of meshes and the centre distance of the previous row of meshes is L/3 (L=24.6 mm). The utility model has the advantages of simple structure, high sieving efficiency, low cost, etc.",util model relat improv gold mine siev axi mesh util model form deg radic includ angl siev cylind arrang row mesh cylind siev plate form deg includ angl direct row mesh differ distanc row mesh distanc row mesh is l l mm util model ha advantag structur siev effici cost etc
US8219076B2,"An access probe existing and generated within a base station to simulate a mobile terminal for the purpose of testing base station receive functionality within a communications system. The access probe data is injected at baseband rather than at RF to eliminate the need for analog/RF circuitry. The access probe performs injection at the front end of the base station receiver to exercise as much receive data path as possible. A unique ID is embedded in the access probes so that the communications system is aware which probes within a sequence were received successfully and at what power level. Within in-field applications, the unique ID allows the communications system to distinguish simulated access probes from those corresponding to real mobiles.",access probe exist gener base station simul termin purpos test base station receiv function commun system access probe data is inject baseband rf elimin need analog rf circuitri access probe perform inject end base station receiv exercis receiv data path a uniqu id is embed access probe commun system is probe sequenc were receiv power level within field applic id allow commun system distinguish access probe correspond mobil
IT1260234B,"AbstractTranslated from Italian An integrated closed loop control system, without mapping and self-adaptive for internal combustion engines, includes: a carburetion device (1) equipped with controlled fuel delivery tools; lambda probes (8) arranged in the engine exhaust; a catalytic converter (7); a central control unit (9) which processes electrical signals to act on the dispensing instruments; the carburetion device (1) further comprises a device for measuring the air flow rate; based on a program, the unit (9) acts on the dispensing instruments to set the title of the mixture according to the air flow rate and the values of the signals coming from sensors (RPM, Tm, Ta, U, Pa) and of the existing depression downstream of the throttle valve (13) and to control the carburation according to the values of the signals of the lambda probes (8) so as to maintain the title of the mixture in an optimal value for each operating condition of the engine.",abstracttransl integr loop control system map adapt combust engin includ carburet devic equip fuel deliveri tool lambda probe arrang engin exhaust convert control unit process signal act dispens instrument carburet devic compris devic measur air flow rate base program unit act dispens instrument set titl mixtur accord air flow rate valu signal come sensor rpm tm ta u pa exist depress downstream valv control carbur accord valu signal lambda probe maintain titl mixtur valu oper condit engin
CN200610058329.9,"The motorcycle clutch with damping spring includes a housing, a driven gear with installing holes for the installing pins in the housing to be inserted in, a covering plate between the installing pins and the driven gear, and damping springs set inside the corresponding spring slots in the driven gear and the housing. By means of the damping springs, the motorcycle clutch can reduce the impact to the driving system in high damping strength and high reliability.",motorcycl clutch damp spring includ hous gear hole instal pin hous be insert cover plate instal pin gear spring set spring slot gear hous mean damp spring motorcycl clutch reduc impact drive system damp strength reliabl
CN201025289Y,"The utility model relates to a torsional spring and a shell using the torsional spring. The shell includes a cover and a body; the torsional spring is used to open the cover. The torsional spring includes a spring body made of the enlaced metal wires, a first spring arm and a second spring arm, the first spring arm and the second spring arm are respectively formed by the extensions from the two relative ends of the spring body. The first spring arm includes a first, a second and a third paragraphs, the first paragraph is the extension of the spring body, the second paragraph is the bending extension of the first paragraph, the third paragraph is the bending extension of the second paragraph, the second paragraph and the third paragraph are in opposite directions.",util model relat spring shell use spring shell includ cover bodi spring is use open cover spring includ spring bodi made metal wire spring arm spring arm spring arm spring arm are form extens end spring bodi spring arm includ paragraph paragraph is extens spring bodi paragraph is bend extens paragraph paragraph is bend extens paragraph paragraph paragraph are direct
CN2142788Y,"The utility model relates to a card box with a push-out mechanism belonging to the personal article, which is particularly suitable for the vehicle ticket or the ship ticket in a card type The card is arranged in the card box to be convenient for taking, storing, delivering and checking and the card box can be cooperatively used with a key ring.",util model relat card box push mechan belong articl is vehicl ticket ship ticket card type card is arrang card box be take store deliv check card box be use ring
